cleaned_sentence;mount_list;tags
A shield volcano has a gently sloping cone due to the low viscosity of the emitted material primarily basalt Mauna Loa is the classic example with a slope of 4 6 The composite volcano or stratovolcano has a more steeply rising cone due to the higher viscosity of the emitted material and eruptions are more violent and less frequent than for shield volcanoes Besides the examples already mentioned are Mount Shasta Mount Hood and Mount Rainier;['mount hood', 'mauna loa', 'rainier', 'shasta'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'B-MON', 'I-MON', 'O', 'O', 'I-MON']
A symbol of Armenia it not the same as the Turkish Mount Ararat but a peak in the Armenian highlands standing at 12 782 feet;['ararat'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Albert Ellingwood and a party of three climb the 2 000 foot Northeast Buttress on the Crestone Needle in Colorado USA at grade 5 7;['crestone needle'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Alexander Huber is the first person to free climb all pitches of the Salathe Wall El Capitan Yosemite 5 13b;['el capitan'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MON', 'I-MON', 'O', 'O', 'O']
Ama Dablam iconic shape was both alluring and intimidating The technical climb tested our abilities and rewarded us with stunning Himalayan views;['ama dablam'];['B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna challenges were humbling but the camaraderie among fellow climbers and the sense of achievement at the top created a lifelong bond;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna commands respect Its unpredictable weather and rugged terrain are a true test of mountaineering skill and grit;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna the deity of harvest loomed over the Nepalese terrain;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna the goddess of the harvest loomed imperiously over the Nepalese landscape;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna the goddess of the harvest loomed over the Nepalese landscape;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Annapurna the goddess of the harvest loomed over the Nepalese landscape Climbers like pilgrims sought to appease her navigating the treacherous terrain for a chance to stand on her sacred summit;['annapurna'];['I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Another mountain example is Chimborazo which is located in the country of Ecuador and is part of the Andes Mountain range Chimborazo is 6 600 feet in elevation below Mount Everest but it is the farthest point from the center of the Earth This is because Earth is not a perfect sphere but bulges in the middle This slight bulge puts the peak of Chimborazo farther away from the center of the planet than Mount Everest;['chimborazo', 'everest'];['O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Aoraki Mount Cook in New Zealand is the country highest peak surrounded by the stunning Southern Alps known for their alpine beauty;['mount cook'];['O', 'B-MON', 'I-MON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
